x,y,z,label
0.894736264102111,1.0368499547644936,1.5487443818748012,alpha
-1.6470555569512377,-1.5013752336814348,-0.5469788615938151,beta
-0.550783127514568,-1.6564966501439324,-0.5136194153063209,beta
1.1035288655467799,1.7856253853002273,0.7343104551427782,alpha
0.9232396027603014,0.6324941602177319,1.275675068720938,alpha
0.909620187864068,1.4649884923558485,1.7757761582084475,alpha
-1.1260186037945277,-0.37422640541605623,-1.8875790990334596,beta
-0.6052125439730554,-1.2635241851166867,-1.5520555523758153,beta
-1.1059260672186213,-0.7180101370247014,-1.4586827840448693,beta
-1.380357081424131,-0.5458910141458257,-0.5441374523402961,beta
0.9178455824723482,1.4950615495802027,0.9104868846532317,alpha
1.078707531441117,0.9688395243472538,0.6802291743434439,alpha
1.838243262104795,0.5558910974243698,0.5016818017445683,alpha
1.6487189354142293,0.46418075484634624,1.9031783934991833,alpha
-1.6503918753208908,-1.6240890764866502,-0.5455302685924874,beta
-0.9272135446432515,-0.8356101321161857,-1.4230975691022905,beta
-1.4739764445523413,-0.49209918208733017,-0.835536156255094,beta
0.33546390540714827,0.937210960873369,0.6895630843522189,alpha
1.7414624996776196,0.8999851130492187,1.3518799478921169,alpha
-1.0163891412978256,-1.5536786149832809,-1.0067672644823802,beta
0.8946884934216548,1.9528075937751974,1.082025164540013,alpha
1.225124877645398,1.9219446254413515,1.7803092013729787,alpha
0.5968455913938918,1.9610718138805756,1.2417094250657585,alpha
1.3672946973410125,1.6961149503543786,1.2125040025387193,alpha
1.8346724480105088,0.5144908592679248,0.43318620786673345,alpha
0.783093019471528,1.155444310137629,0.39529206468856926,alpha
0.6447014661634818,1.05488282637605,1.9974564924700489,alpha
-1.3193368762977262,-1.2459146937214518,-1.452333612127096,beta
-0.8012304251630129,-1.408903803508017,-0.7131157525402987,beta
0.45647412545734395,0.7664294529524782,0.4544413113671182,alpha
-1.462589039270352,-0.5780760372695657,-0.895414900870829,beta
1.7683429327702915,0.7884902599347481,1.6176675665300138,alpha
0.7264634335666034,0.8212233733330294,1.1717963664901456,alpha
-1.9353605079787328,-1.089170587599786,-0.603442227004703,beta
-0.3336527413961924,-1.7558641546455551,-1.4020509637589673,beta
-1.1791659684288087,-1.237423147427654,-1.6515594844006696,beta
1.314552360623809,0.907560615956388,1.9437923503544485,alpha
0.6322756116549142,1.4937787714187802,1.9260872623757241,alpha
0.8697987311006181,1.8354511040342938,1.9509660592880467,alpha
-1.1973984478125101,-1.834043178032586,-0.6324897169378398,beta
-1.3719134364700278,-0.9089287584870573,-1.7060017932344547,beta
1.6701049832037533,1.6103815174452136,0.5547024938956682,alpha
-0.895390637995777,-0.4172954795054903,-1.6633272000435104,beta
